"Title","Artist","Album","Artwork URL","Audio file or URL","Store URL","Mood","BPM","ISRC","UPC","Release Date","Label","Status","Track ID","Spotify Artist URL","SoundCloud URL"
"Flute in the Ferns","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565174","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900078","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Path to the Roastery","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565175","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900083","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Distant Bells and Brew","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565176","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900084","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Streamside Serenade","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565177","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900085","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Sunlight Between Leaves","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565178","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900089","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Driftwood Café","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565179","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900097","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Afternoon Drizzle","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565180","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900101","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Whispering Pines, Cooling Cups","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565182","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900102","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Coffee Blossoms","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565184","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900103","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"The Grinder’s Echo","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565181","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900106","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"The River Whispers","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565185","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900108","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Dusk with the Crickets","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565183","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900109","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Sparrow Interlude","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565187","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900111","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Morning Percolation","Maja's Coffee Jazz Zone","Breze Over Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GXJ8K2565186","5.06386E+12","23/12/2025","EchoHill Records","Approved","11900112","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Salvation Sip","Maja's Coffee Jazz Zone","The Sacred Brew","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2685052","5.06394E+12","12/06/2026","Maja's Coffee Jazz Zone","Approved","12412396","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Stillness in the Steam","Maja's Coffee Jazz Zone","The Sacred Brew","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2607678","5.06394E+12","12/06/2026","Maja's Coffee Jazz Zone","Approved","12412400","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Mindful Mugs","Maja's Coffee Jazz Zone","The Sacred Brew","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2686243","5.06394E+12","12/06/2026","Maja's Coffee Jazz Zone","Approved","12412402","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Steam Of Consicousness","Maja's Coffee Jazz Zone","The Sacred Brew","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2696865","5.06394E+12","12/06/2026","Maja's Coffee Jazz Zone","Approved","12412403","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Divine Roast","Maja's Coffee Jazz Zone","The Sacred Brew","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2630616","5.06394E+12","12/06/2026","Maja's Coffee Jazz Zone","Approved","12412404","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Transcendental Taste","Maja's Coffee Jazz Zone","Zen & The Art of Espresso","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2602594","5.06394E+12","26/06/2026","Maja's Coffee Jazz Zone","Approved","12412470","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Maja’s Morning Mantra","Maja's Coffee Jazz Zone","Zen & The Art of Espresso","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2658187","5.06394E+12","26/06/2026","Maja's Coffee Jazz Zone","Approved","12412472","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"The Final Drop","Maja's Coffee Jazz Zone","Zen & The Art of Espresso","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2697729","5.06394E+12","26/06/2026","Maja's Coffee Jazz Zone","Approved","12412473","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Karma and Caffeine","Maja's Coffee Jazz Zone","Zen & The Art of Espresso","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2665811","5.06394E+12","26/06/2026","Maja's Coffee Jazz Zone","Approved","12412474","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Awakening the Soul","Maja's Coffee Jazz Zone","Zen & The Art of Espresso","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2659659","5.06394E+12","26/06/2026","Maja's Coffee Jazz Zone","Approved","12412475","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Altar of the Mug","Maja's Coffee Jazz Zone","Astral Aromas","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2665073","5.06394E+12","10/07/2026","Maja's Coffee Jazz Zone","Approved","12412505","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Eternal Espresso","Maja's Coffee Jazz Zone","Astral Aromas","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2605146","5.06394E+12","10/07/2026","Maja's Coffee Jazz Zone","Approved","12412507","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Maja’s Infinite Loop","Maja's Coffee Jazz Zone","Astral Aromas","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2600133","5.06394E+12","10/07/2026","Maja's Coffee Jazz Zone","Approved","12412508","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Jazz Deities","Maja's Coffee Jazz Zone","Astral Aromas","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2635362","5.06394E+12","10/07/2026","Maja's Coffee Jazz Zone","Approved","12412509","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Ritual of the Pour","Maja's Coffee Jazz Zone","Astral Aromas","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2607842","5.06394E+12","10/07/2026","Maja's Coffee Jazz Zone","Approved","12412510","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Floating on Foam","Maja's Coffee Jazz Zone","Soulful Grounds","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2624869","5.06394E+12","24/07/2026","Maja's Coffee Jazz Zone","Approved","12438038","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Maja’s Mystic Blend","Maja's Coffee Jazz Zone","Soulful Grounds","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2676817","5.06394E+12","24/07/2026","Maja's Coffee Jazz Zone","Approved","12438040","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Roots and Roasts","Maja's Coffee Jazz Zone","Soulful Grounds","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2681178","5.06394E+12","24/07/2026","Maja's Coffee Jazz Zone","Approved","12438041","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Silence Between Sips","Maja's Coffee Jazz Zone","Soulful Grounds","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2624213","5.06394E+12","24/07/2026","Maja's Coffee Jazz Zone","Approved","12438042","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Universal Grind","Maja's Coffee Jazz Zone","Soulful Grounds","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2684541","5.06394E+12","24/07/2026","Maja's Coffee Jazz Zone","Approved","12438043","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Spirit of the Bean","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2636562","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438266","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Deep Earth Brew","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2614692","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438269","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Ancestral Aroma","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2676994","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438271","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Maja’s Soulful Sanctuary","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2637343","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438274","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Smoldering Sage","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2641848","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438275","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Holy Water Process","Maja's Coffee Jazz Zone","Incense & Beans","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2612714","5.06394E+12","07/08/2026","Maja's Coffee Jazz Zone","Approved","12438276","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Cosmic Café","Maja's Coffee Jazz Zone","The Infinite Pour","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2655087","5.06394E+12","21/08/2026","Maja's Coffee Jazz Zone","Approved","12438320","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Lotus Flower Latte","Maja's Coffee Jazz Zone","The Infinite Pour","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2692242","5.06394E+12","21/08/2026","Maja's Coffee Jazz Zone","Approved","12438321","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Meditative Mocha","Maja's Coffee Jazz Zone","The Infinite Pour","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2657967","5.06394E+12","21/08/2026","Maja's Coffee Jazz Zone","Approved","12438322","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
"Stardust in the Cup","Maja's Coffee Jazz Zone","The Infinite Pour","","","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","Jazz","","GX8LE2669255","5.06394E+12","21/08/2026","Maja's Coffee Jazz Zone","Approved","12438323","https://open.spotify.com/artist/0S6IzRQRufNIAl55OxmCSG","https://soundcloud.com/majascoffeejazzzone"
